Keyword Name,Keyword Description
Blast,"If the target unit has 6 or more models, this weapon makes a minimum of 3 attacks. If the target unit has 11 or more models, it makes a minimum of 6 attacks."
Devastating Wounds,"If a Critical Wound is scored, the target suffers a number of mortal wounds equal to the Damage characteristic of that attack, and the attack sequence ends."
Extra Attacks,Make attacks with this weapon in addition to attacks with the model's other melee weapons.
Ignores Cover,The target of this weapon cannot use the Benefit of Cover against attacks made with this weapon.
Torrent,This weapon automatically hits its target.
Indirect Fire,This weapon can target units that are not visible to the attacking model.
Hazardous,"After the model makes attacks with this weapon, roll one D6. On a 1, the bearer suffers 1 mortal wound."
Psychic,This weapon is a Psychic weapon.
Pistol,This weapon can be used to make attacks in the Fight phase.
Assault,This weapon can be used to make attacks even if the bearer Advanced this turn.
Anti-Character 3+,"Each time an attack is made with this weapon against a Character unit, a Wound roll of 3+ is always a successful wound roll."
Anti-Monster 4+,"Each time an attack is made with this weapon against a Monster unit, a Wound roll of 4+ is always a successful wound roll."
Anti-Vehicle 4+,"Each time an attack is made with this weapon against a Vehicle unit, a Wound roll of 4+ is always a successful wound roll."
Anti-Psyker 2+,"Each time an attack is made with this weapon against a Psyker unit, a Wound roll of 2+ is always a successful wound roll."
Anti-Infantry 3+,"Each time an attack is made with this weapon against an Infantry unit, a Wound roll of 3+ is always a successful wound roll."
Lance,"If the bearer made a Charge move this turn, add 1 to this weapon's Strength characteristic for that fight."
Lethal Hits,Critical Hits automatically wound the target.
Precision,Attacks made with this weapon can target a Character model in an enemy unit even if that Character is not the closest model.
Sustained Hits 1,A Critical Hit scored with this weapon scores 1 additional hit.
Sustained Hits 3,A Critical Hit scored with this weapon scores 3 additional hits.
Sustained Hits D3,A Critical Hit scored with this weapon scores D3 additional hits.
